injectionName,acetoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,scutellarin,scutellarein,chrysinG,hispidulin,chrysin
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix1_0.1,0.0321,0.0821,0.0888,0.1201,0.0907,0.122,0.1948,0.1798,0,0,0,0,0,0,0
mix1_0.5,0.1673,0.3973,0.3423,0.59,0.4487,0.7143,0.9453,0.8857,0,0,0,0,0,0,0
mix1_1,0.265,0.8343,0.6694,1.2072,0.91,1.5554,1.904,1.8362,0,0,0,0,0,0,0
mix1_5,1.001,3.6493,2.9629,5.3535,3.9713,7.4614,8.2123,8.0339,0,0,0,0,0,0,0
mix1_10,2.1746,7.6522,6.0994,11.0559,8.4547,16.0591,17.2593,16.89,0,0,0,0,0,0,0
mix1_25,5.3878,19.3964,15.6329,28.112,21.5912,41.5658,43.767,42.9387,0,0,0,0,0,0,0
mix1_50,11.9326,42.8553,34.4705,61.5996,47.593,91.9513,95.6751,95.2814,0,0,0,0,0,0,0
mix1_100,21.2917,76.1886,61.0702,109.5209,84.7088,160.6781,165.3801,168.6515,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix2_0.1,0,0,0,0,0,0,0,0,0.0203,0.0634,0.08,0.0986,0.1094,0.1379,0.2011
mix2_0.5,0,0,0,0,0,0,0,0,0.0971,0.3445,0.387,0.6398,0.6441,0.7966,0.7865
mix2_1,0,0,0,0,0,0,0,0,0.0712,0.2951,0.3482,0.5164,0.5745,0.6568,0.7263
mix2_5,0,0,0,0,0,0,0,0,0.4077,1.6016,1.8081,3.1942,3.1164,3.5701,3.5145
mix2_10,0,0,0,0,0,0,0,0,1.6726,5.8441,6.665,12.7248,11.0856,13.3538,12.0636
mix2_25,0,0,0,0,0,0,0,0,3.4929,12.1822,13.7136,26.6552,22.9231,27.7566,25.0876
mix2_50,0,0,0,0,0,0,0,0,9.0767,31.2224,35.2545,69.0135,58.3167,70.8818,63.374
mix2_100,0,0,0,0,0,0,0,0,18.8679,65.2407,72.9994,143.5854,121.2419,145.6874,130.0597
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRI_L-1,0,24.2472,0.8759,0,0.1209,18.0301,0,1.1693,0,0.2545,0,0,1.5941,0.9636,1.8844
WRI_L-2,0,26.9882,0.9123,0,0.1524,32.6659,0,1.476,0,0.2675,0,0,1.7816,0.9667,1.9579
WRI_L-3,0,21.8002,0.426,0,0.2103,13.8694,0,0.7476,0,0.1751,0,0,1.7523,0.6154,2.7667
WRI_S-1,0,4.956,3.442,0.3022,0,0,0,0.2796,0,0,0,0,0,0,0
WRI_S-2,0,53.9587,19.5954,0.7173,0,1.1985,0.0805,1.118,0,0.1258,0,0,0,0.8163,0.1878
WRI_S-3,0,29.4282,13.8846,0.5637,0,0.3454,0,0.6659,0,0.1135,0,0,0,0.392,0
WRI_R-1,0,184.93,9.6446,15.5531,0,15.8162,1.3829,0.5348,0,0,0,0,0,0,0
WRI_R-2,0,146.8112,9.4021,8.1406,0,7.8977,0.7555,0.5336,0,0,0,0,0,0,0
WRI_R-3,0,117.3952,10.5611,4.847,0,14.7899,0.6527,1.1338,0,0,0,0,0,0,0
mix15,3.0823,11.1226,3.8097,14.1574,9.8438,16.8774,11.7519,20.8778,2.4647,7.5851,7.6927,12.4393,17.8949,17.1259,7.0296
wash,0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
