,acetoside,apigenin,apigeninG,baicalein,baicalin,chrysin,chrysinG,hispidulin,hispidulinG,oroxylinA,oroxyloside,scutellarein,scutellarin,wogonin,wogonoside
alpina,2.488790118,5.584455153,21.48894325,0,0,2.057029274,3.569871328,0.064496851,0,0,0,3.873218596,0.135153976,0.088511891,0
altissima,0,0.205338365,0.241432256,0.763984722,4.616331388,0.662044972,3.336908814,0,0,0.295444353,0.580921066,0.538235931,0.148078519,2.694591993,2.966588484
arenicola,9.062205795,0.725892864,0.809043657,3.912737044,0,0.421365336,0,26.6966511,1.623956153,0,0.275476929,0.795870225,5.511620022,13.8802188,9.761367997
astinae,0,0,0.497474015,0.654606409,36.84264049,1.067348041,37.598638,0,0,0,4.146267604,0,0,0.372569941,8.135134308
baicalensis,0.015708652,0.527364182,0.599632419,0.74269849,56.47004861,8.372980094,3.162844565,0.04669691,0,0.379148539,1.442537625,2.197885708,0,6.008577151,10.76194792
barbata,2.047277522,0.214870732,0.117422083,1.240891849,5.00971746,0.021044803,0,0.160339714,0,0.063143396,0.286922189,5.904424406,2.700822531,3.547560964,3.227120663
coerulea,18.84828156,0.902366228,9.39274266,0,0,0,0.142897301,0.05489972,11.42451519,0,0,0,0,6.687640101,12.13587928
costaricana,27.09900327,0,0,0,0,0,0,0,0,0,0.693578551,0,0,0.432864146,3.282436259
dependens,3.199363148,7.336523913,21.88693596,0,12.73080944,0,0.226144733,0,0,0.786369286,8.709407276,0,0,14.83934895,37.99867265
epilobiifolia,0,0,0,0,13.36841554,0.419663572,5.584431828,0,0,0,2.889138381,0,0.090457944,0,0
formosa,0,0,0,3.971887487,13.41534744,0.790361784,0.558164983,0.596879664,0,3.753676587,2.756504152,0,0,0,0.455949136
fruticosa,6.90655432,12.88421066,13.90033691,0,0,29.21890332,31.93436739,2.300525301,0,0,0,0,0,0,0
galericulata,0,0,0,0,16.25417759,0,2.479992376,0,0,0,0.738393283,0,0,0.744946941,3.560696411
havanensis,27.81380971,0.378135256,2.995011805,0.43732292,138.8472114,10.24069738,44.15029986,0,0,0.61892295,7.701019216,0,0,6.615344466,23.55521366
holmgreniorum,10.60504435,0,0.942338025,1.658210937,90.12035758,0.337155556,11.70751053,0,0,0,3.210298553,0,0,0.465664191,17.87694273
hookeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indica var. coccinea,2.707132565,2.32493956,5.664508171,0,1.877489048,0,0,0,0,0,0,1.613069452,8.577115773,5.497744632,7.683729127
insignis,0,0,0,0,0,0,0,0,0,0,0,0,0.321823337,0.067113831,1.70600444
isocheila,0,0,0,0,0,0,0,0.020742187,0,0,0,0,0,0,0
lateriflora,3.556284326,0.498237874,3.002870753,0.4800268,42.99477014,0,0,0,0,0.191183206,4.248494422,0,0,0.43947239,1.534366232
leonardii,0.873738283,0.321573504,0,1.131636167,9.317894607,51.84945046,3.234818005,0.515550276,0,4.711585171,3.691936421,0.5478771,0,11.56793456,0.277250849
longifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656483286,0.418582772
lutilaba,0,0.676447252,2.50895565,0,0,0,0,0.504520173,0,0,0.555369632,7.068269592,20.45280422,0,0.394930659
microphylla,0.714115356,0.866194246,0.278575133,4.670277526,56.46684864,2.088312699,5.874509816,0.712389226,0,3.395250063,36.84866525,0,1.371104631,5.753128184,33.42585504
orientalis,0,0,0,3.238610169,40.17098598,0.503278151,2.726485805,0,0,0.277568334,1.90205592,1.237592646,0,4.175783587,10.02515677
ovata,0,0,25.02317505,0,0,0,0.648425207,0,0,0,1.718742674,0,8.186834823,0,0
parvula,0,0,1.560815051,0,0,0,11.64608588,0,0,0,0,0,1.170908101,2.204549019,41.69875462
pekinensis var. alpina,3.236862703,0,0,0,6.890456989,17.78376513,49.4381204,0,0,0.232533596,0.130973067,0,0,0,0
potosina,0,0,2.210471241,0,0,0,1.686594413,0.596260494,0,0,0,0.946588111,2.335420905,0.28926747,2.001843286
pulchella,0,0,0,14.07172869,65.86761865,0,1.617618646,0,0,2.258105425,24.35792851,0,0,9.770651544,34.47953348
racemosa,6.507198032,0,0,1.097714645,34.88282435,0.24708693,0,1.456397448,0.09868487,33.20559804,77.63385011,0,0,3.796372814,3.413986533
resinosa,0,0.119835283,3.322399163,0,2.052851044,0.423605699,2.990466047,1.472746909,0,0.07438465,2.791834667,2.771777021,8.57588215,0,0
sapphirina,8.124880451,0,0,0.862963495,51.54835474,0.871279116,33.61566276,0,0,0.083224697,5.251142581,0,0,1.131263963,33.43271879
serrata,0,0,0,0,0,0.546364901,1.835585604,0,0,0,0,0,0,5.37785706,15.02620723
siphocampyloides,0.471524179,0,0.366722679,1.207826691,65.27851046,0.275049774,3.063062822,0,0,0.601856091,29.47860882,0,0,0.296840423,5.202510812
splendens,35.14371065,0.300289818,2.51058037,0,0,0,0,0,0,0,0,0,0.97563832,0,0
strigillosa,1.056427225,0,0,4.142202816,74.6506123,0,1.541599958,0,0,0,2.168452554,0,0,1.586419319,4.371657496
tessellata,0,0,3.307389838,0,0,0,1.40468577,0.540483618,0,0,0,0.674815284,6.913530886,0,0.448754123
tournefortii,0,0,0.480543248,1.556542118,1.686314312,0.829663402,8.488457002,0,0,0.128183856,2.178631904,0,1.227970058,4.096036355,16.83397029
