"species","organ","metabolite","peakArea","stError_peakArea"
"altissima","leaves","isoscutellarin",0,0
"altissima","roots","isoscutellarin",0,0
"altissima","stems","isoscutellarin",0.260566666666667,0.0083475212555052
"arenicola","leaves","isoscutellarin",0,0
"arenicola","roots","isoscutellarin",0,0
"arenicola","stems","isoscutellarin",0,0
"baicalensis","leaves","isoscutellarin",0.1024,0.0518561793167732
"baicalensis","roots","isoscutellarin",0,0
"baicalensis","stems","isoscutellarin",2.16596666666667,0.595734181027448
"barbata","leaves","isoscutellarin",2.3393,0.485242908242872
"barbata","roots","isoscutellarin",0,0
"barbata","stems","isoscutellarin",3.8943,0.597814054145044
"hastifolia","leaves","isoscutellarin",0,0
"hastifolia","roots","isoscutellarin",0,0
"hastifolia","stems","isoscutellarin",0.1886,0.0287286152352203
"havanensis","leaves","isoscutellarin",0,0
"havanensis","roots","isoscutellarin",0,0
"havanensis","stems","isoscutellarin",0,0
"leonardii","leaves","isoscutellarin",0,0
"leonardii","roots","isoscutellarin",0,0
"leonardii","stems","isoscutellarin",0,0
"racemosa_071119","leaves","isoscutellarin",0,NA
"racemosa_071119","roots","isoscutellarin",0,NA
"racemosa_071119","stems","isoscutellarin",0,NA
"racemosa_MS","leaves","isoscutellarin",0,NA
"racemosa_MS","roots","isoscutellarin",0,NA
"racemosa_MS","stems","isoscutellarin",0,NA
"racemosa_RNAseq","leaves","isoscutellarin",0,0
"racemosa_RNAseq","roots","isoscutellarin",0,0
"racemosa_RNAseq","stems","isoscutellarin",0,0
"racemosa_SC","leaves","isoscutellarin",0,NA
"racemosa_SC","roots","isoscutellarin",0,NA
"racemosa_SC","stems","isoscutellarin",0,NA
"tournefortii","leaves","isoscutellarin",0.182333333333333,0.0298099722315276
"tournefortii","roots","isoscutellarin",0,0
"tournefortii","stems","isoscutellarin",0.898066666666667,0.238478415049338
"wrightii","leaves","isoscutellarin",0,0
"wrightii","roots","isoscutellarin",0,0
"wrightii","stems","isoscutellarin",0,0
