"species","organ","metabolite","concentration_ppm","stError_ppm"
"suffrutescens","leaves","acteoside",0,0
"suffrutescens","leaves","apigenin",0,0
"suffrutescens","leaves","apigeninG",0,0
"suffrutescens","leaves","baicalein",2.37384357077673,0.206986540456186
"suffrutescens","leaves","baicalin",105.863983808139,20.9472773595501
"suffrutescens","leaves","chrysin",0,0
"suffrutescens","leaves","chrysinG",2.24869770545105,0.0845663393456055
"suffrutescens","leaves","hispidulin",0,0
"suffrutescens","leaves","hispidulinG",0,0
"suffrutescens","leaves","isoscutellarin",0,0
"suffrutescens","leaves","oroxylinA",0,0
"suffrutescens","leaves","oroxyloside",0,0
"suffrutescens","leaves","scutellarein",0,0
"suffrutescens","leaves","scutellarin",1.02106412735759,0.339951902868715
"suffrutescens","leaves","wogonin",0,0
"suffrutescens","leaves","wogonoside",0,0
"suffrutescens","roots","acteoside",0,0
"suffrutescens","roots","apigenin",0,0
"suffrutescens","roots","apigeninG",0,0
"suffrutescens","roots","baicalein",8.84823359520548,1.26047750058721
"suffrutescens","roots","baicalin",121.777006522023,19.3648606269927
"suffrutescens","roots","chrysin",0,0
"suffrutescens","roots","chrysinG",0,0
"suffrutescens","roots","hispidulin",0,0
"suffrutescens","roots","hispidulinG",0,0
"suffrutescens","roots","isoscutellarin",0,0
"suffrutescens","roots","oroxylinA",0,0
"suffrutescens","roots","oroxyloside",0,0
"suffrutescens","roots","scutellarein",0,0
"suffrutescens","roots","scutellarin",0.287309365856419,0.0442183495544146
"suffrutescens","roots","wogonin",0,0
"suffrutescens","roots","wogonoside",0,0
"suffrutescens","stems","acteoside",0,0
"suffrutescens","stems","apigenin",0,0
"suffrutescens","stems","apigeninG",0,0
"suffrutescens","stems","baicalein",2.36913334117534,0.123704932958483
"suffrutescens","stems","baicalin",81.9505324607271,1.50811524496408
"suffrutescens","stems","chrysin",0,0
"suffrutescens","stems","chrysinG",0,0
"suffrutescens","stems","hispidulin",0,0
"suffrutescens","stems","hispidulinG",0,0
"suffrutescens","stems","isoscutellarin",0,0
"suffrutescens","stems","oroxylinA",0,0
"suffrutescens","stems","oroxyloside",5.45334785186049,0.581549364050514
"suffrutescens","stems","scutellarein",0,0
"suffrutescens","stems","scutellarin",2.90640557032088,0.773829636939393
"suffrutescens","stems","wogonin",0,0
"suffrutescens","stems","wogonoside",0,0
